word,review_html,content_url
character,https://www.codecademy.com/review-cards/5cd572c73709025fdb9815cb,https://www.codecademy.com/paths/build-web-apps-with-asp-net/tracks/build-web-apps-asp-net-beginner-c-sharp/modules/learn-csharp-module-ii/lessons/csharp-working-with-text
immutable,https://www.codecademy.com/review-cards/5c0066481d1972769e5ef2f2,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-strings/lessons/introduction-to-strings
syntax,https://www.codecademy.com/review-cards/5bfaf1161d19722093752837,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-strings/lessons/introduction-to-strings
backslashes,https://www.codecademy.com/review-cards/5bfc24ff1d1972208e7529b6,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-strings/lessons/introduction-to-strings
iterate,https://www.codecademy.com/review-cards/5c0063285df3150943668606,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-strings/lessons/introduction-to-strings
slicing,https://www.codecademy.com/review-cards/5c017ba039652c1f53bb6342,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-strings/lessons/introduction-to-strings
mutable,https://www.codecademy.com/review-cards/5b8418a939652c4e40d8f8a1,https://www.codecademy.com/courses/web-dev-js-arrays-loops-objects/lessons/arrays
push,https://www.codecademy.com/review-cards/5b7597d4646caa3d057bf11d,https://www.codecademy.com/courses/web-dev-js-arrays-loops-objects/lessons/arrays
pop,https://www.codecademy.com/review-cards/5b7597d4646caa3d057bf11f,https://www.codecademy.com/courses/web-dev-js-arrays-loops-objects/lessons/arrays
switch,https://www.codecademy.com/review-cards/5e0f9c920c9c630011cfb918,https://www.codecademy.com/courses/build-web-apps-asp-net-beginner-c-sharp/lessons/csharp-conditional-statements
ternary,https://www.codecademy.com/review-cards/5e0e616ca7769300127f70c3,https://www.codecademy.com/courses/build-web-apps-asp-net-beginner-c-sharp/lessons/csharp-conditional-statements
break,https://www.codecademy.com/review-cards/5e0e579c049e840012ecd8c1,https://www.codecademy.com/courses/build-web-apps-asp-net-beginner-c-sharp/lessons/csharp-conditional-statements
raining,https://www.codecademy.com/review-cards/5e0dae2ed8b9460011eb1390,https://www.codecademy.com/courses/build-web-apps-asp-net-beginner-c-sharp/lessons/csharp-conditional-statements
block,https://www.codecademy.com/review-cards/5e054571d8b9460011eb0e47,https://www.codecademy.com/courses/build-web-apps-asp-net-beginner-c-sharp/lessons/csharp-conditional-statements
encode,https://www.codecademy.com/review-cards/5e050ec6d8b9460011eb0d88,https://www.codecademy.com/courses/build-web-apps-asp-net-beginner-c-sharp/lessons/csharp-conditional-statements
model,https://www.codecademy.com/review-cards/5e9f5e3024ecaa001216cd56,https://www.codecademy.com/paths/analyze-data-with-r/tracks/introduction-to-machine-learning-in-r/modules/linear-regression-in-r/lessons/linear-regression-in-r
podcast,https://www.codecademy.com/review-cards/5ea088776683010012733a91,https://www.codecademy.com/paths/analyze-data-with-r/tracks/introduction-to-machine-learning-in-r/modules/linear-regression-in-r/lessons/linear-regression-in-r
advertisement,https://www.codecademy.com/review-cards/5ea086f5a3ae3900124e35eb,https://www.codecademy.com/paths/analyze-data-with-r/tracks/introduction-to-machine-learning-in-r/modules/linear-regression-in-r/lessons/linear-regression-in-r
loess,https://www.codecademy.com/review-cards/5ea0846859b318001376a5ed,https://www.codecademy.com/paths/analyze-data-with-r/tracks/introduction-to-machine-learning-in-r/modules/linear-regression-in-r/lessons/linear-regression-in-r
estimation,https://www.codecademy.com/review-cards/5ea08359465c0a00121331ee,https://www.codecademy.com/paths/analyze-data-with-r/tracks/introduction-to-machine-learning-in-r/modules/linear-regression-in-r/lessons/linear-regression-in-r
correlation,https://www.codecademy.com/review-cards/5e9f4e75df5c770012a3bfe3,https://www.codecademy.com/paths/analyze-data-with-r/tracks/introduction-to-machine-learning-in-r/modules/linear-regression-in-r/lessons/linear-regression-in-r
